name,season,GP,TOI,G,A,P,SH,SH%,FOW,FOL,PPTOI,PPG,PPA,PPP,PPSH,positions,avg_round,avg_pick,pct_drafted
Andrew Campbell,20142015,33,578.32,0,1,1,28,0.0,0,0,2.0,0.0,0.0,0.0,0.0,D,23.4,182.0,0
Andrew Campbell,20152016,6,69.43,0,1,1,1,0.0,0,0,0.27,0.0,0.0,0.0,0.0,D,23.4,182.0,0
Andrew Cogliano,20132014,82,1260.28,22,20,42,158,13.92,11,16,36.599999999999994,0.0,0.0,0.0,3.0,C,23.4,182.0,0
Andrew Cogliano,20142015,82,1196.48,15,14,29,134,11.19,16,33,18.02,0.0,0.0,0.0,0.0,C,23.4,182.0,0
Andrew Cogliano,20152016,82,1181.54,9,23,32,131,6.87,6,11,14.08,0.0,0.0,0.0,0.0,C,23.4,182.0,0
Andrew Copp,20152016,77,616.26,7,6,13,55,12.73,224,262,6.0,0.0,0.0,0.0,0.0,C,23.4,182.0,0
Andrew Desjardins,20132014,81,900.38,3,14,17,95,3.16,371,304,13.23,0.0,0.0,0.0,1.0,C,23.4,182.0,0
Andrew Desjardins,20142015,69,741.22,5,5,10,59,8.47,158,154,14.53,0.0,0.0,0.0,1.0,C,23.4,182.0,0
Andrew Desjardins,20152016,77,1028.06,8,5,13,97,8.25,43,44,17.12,0.0,0.0,0.0,0.0,C,23.4,182.0,0
Andrew Ebbett,20132014,9,99.44,0,1,1,9,0.0,15,20,4.91,0.0,0.0,0.0,1.0,C,23.4,182.0,0
Andrew Ebbett,20142015,24,216.18,1,5,6,21,4.76,39,47,4.71,0.0,0.0,0.0,0.0,C,23.4,182.0,0
Andrew Ference,20132014,71,1485.46,3,15,18,77,3.9,2,1,36.25,0.0,2.0,2.0,1.0,D,23.4,182.0,0
Andrew Ference,20142015,70,1316.07,3,11,14,58,5.17,0,2,12.27,0.0,0.0,0.0,2.0,D,23.4,182.0,0
Andrew Ference,20152016,6,78.13,0,0,0,4,0.0,0,0,0.79,0.0,0.0,0.0,0.0,D,23.4,182.0,0
Andrew Ladd,20132014,78,1533.88,23,31,54,189,12.17,24,38,215.78,4.0,8.0,12.0,28.0,L,8.7,84.8,100%
Andrew Ladd,20142015,81,1616.6,24,38,62,224,10.71,7,13,241.41,9.0,10.0,19.0,49.0,L,8.7,84.8,100%
Andrew Ladd,20152016,78,1468.35,25,21,46,181,13.81,8,5,216.42,10.0,4.0,14.0,34.0,L,8.7,84.8,100%
Andrew Macdonald,20132014,82,1998.7,4,24,28,92,4.35,0,0,240.70999999999998,2.0,8.0,10.0,29.0,D,23.4,182.0,0
Andrew Macdonald,20142015,58,1159.39,2,10,12,62,3.23,0,0,88.46,1.0,4.0,5.0,15.0,D,23.4,182.0,0
Andrew Macdonald,20152016,28,561.94,1,7,8,20,5.0,0,0,25.59,0.0,2.0,2.0,2.0,D,23.4,182.0,0
Andrew Macwilliam,20142015,12,183.92,0,2,2,5,0.0,0,1,0.95,0.0,0.0,0.0,0.0,D,23.4,182.0,0
Andrew Miller,20142015,9,123.75,1,5,6,14,7.14,1,1,,,,,,L,23.4,182.0,0
Andrew Shaw,20132014,80,1252.46,20,19,39,149,13.42,296,388,213.77,5.0,4.0,9.0,22.0,C,13.8,143.2,3%
Andrew Shaw,20142015,79,1176.71,15,11,26,146,10.27,357,355,215.73,5.0,1.0,6.0,19.0,C,13.8,143.2,3%
Andrew Shaw,20152016,78,1141.76,14,20,34,153,9.15,146,168,158.94,4.0,4.0,8.0,16.0,C,13.8,143.2,3%
Andrey Pedan,20152016,13,142.25,0,0,0,11,0.0,0,0,1.5,0.0,0.0,0.0,0.0,D,23.4,182.0,0
Andy Andreoff,20142015,18,154.17,2,1,3,14,14.29,32,29,3.92,0.0,0.0,0.0,0.0,C,23.4,182.0,0
