name,GP,TOI,G,A,P,SH,FOW,FOL,PPTOI,PPG,PPA,PPP,PPSH,positions,avg_round,avg_pick,pct_drafted
Drew Stafford,76.28571428571429,1337.2628571428572,19.428571428571427,19.428571428571427,38.857142857142854,175.28571428571428,68.85714285714286,66.71428571428571,176.5457142857143,4.857142857142857,3.857142857142857,8.714285714285714,29.142857142857142,R,23.4,182.0,0
Duncan Keith,72.42857142857143,1816.3714285714284,8.857142857142858,37.285714285714285,46.142857142857146,151.42857142857142,0.0,0.5714285714285714,218.27142857142857,3.5714285714285716,12.0,15.571428571428571,33.0,D,6.7,61.6,100%
Dustin Brown,81.57142857142857,1322.7742857142857,11.571428571428571,16.0,27.571428571428573,206.42857142857142,9.714285714285714,12.714285714285714,118.77428571428571,1.5714285714285714,2.4285714285714284,4.0,15.0,"L,R",13.9,159.0,6%
Dustin Byfuglien,77.14285714285714,1858.0628571428572,18.857142857142858,32.285714285714285,51.142857142857146,237.42857142857142,0.0,1.1428571428571428,263.9971428571429,4.285714285714286,14.0,18.285714285714285,63.142857142857146,D,4.3,37.2,100%
Dustin Jeffrey,12.4,129.538,1.2,1.2,2.4,10.0,39.0,30.4,10.241999999999999,0.0,0.0,0.0,1.8,C,23.4,182.0,0
Dustin Penner,67.0,968.42,14.0,21.0,35.0,119.0,15.0,32.0,131.71,5.0,6.0,11.0,20.0,R,23.4,182.0,0
Dwight King,61.0,885.2957142857142,9.857142857142858,9.285714285714286,19.142857142857142,79.57142857142857,2.2857142857142856,3.857142857142857,37.112857142857145,0.0,0.42857142857142855,0.42857142857142855,3.142857142857143,L,23.4,182.0,0
Dylan Demelo,45.0,611.76,2.0,2.0,4.0,42.0,0.0,0.0,54.0,2.0,2.0,4.0,8.0,D,23.4,182.0,0
Dylan Larkin,80.0,1319.54,23.0,22.0,45.0,221.0,41.0,59.0,169.42,4.0,1.0,5.0,32.0,"C,R",9.6,91.8,100%
Dylan Mcilrath,34.0,479.74,2.0,2.0,4.0,28.0,0.0,0.0,2.14,0.0,0.0,0.0,1.0,D,23.4,182.0,0
Dylan Olsen,23.428571428571427,359.5885714285714,1.0,3.5714285714285716,4.571428571428571,26.285714285714285,0.0,0.0,11.81,0.0,0.42857142857142855,0.42857142857142855,1.1428571428571428,D,23.4,182.0,0
Ed Jovanovski,37.0,598.15,1.0,4.0,5.0,44.0,0.0,0.0,62.160000000000004,0.0,1.0,1.0,8.0,D,23.4,182.0,0
Elias Lindholm,78.28571428571429,1345.777142857143,12.428571428571429,24.0,36.42857142857143,159.14285714285714,169.71428571428572,173.85714285714286,200.2357142857143,2.2857142857142856,9.857142857142858,12.142857142857142,24.857142857142858,C,23.4,182.0,0
Emerson Etem,50.142857142857146,645.8057142857142,6.428571428571429,6.571428571428571,13.0,85.42857142857143,1.7142857142857142,1.8571428571428572,13.372857142857143,0.2857142857142857,0.0,0.2857142857142857,1.2857142857142858,R,23.4,182.0,0
Eriah Hayes,15.0,117.0,1.0,0.0,1.0,17.0,9.0,12.0,1.65,0.0,0.0,0.0,0.0,R,23.4,182.0,0
