name,positions,avg_pick,avg_round,pct_drafted
Anthony Mantha,LR,173.3,17.0,66
Kevin Hayes,CR,173.7,15.2,14
Jesse Puljujarvi,R,174.1,17.4,6
Brady Skjei,D,174.3,17.6,78
Steve Mason,G,174.4,16.6,8
Alex Goligoski,D,174.5,14.9,8
Gustav Nyquist,LR,174.8,15.0,13
Marian Hossa,R,174.8,18.3,2
Tomas Hertl,CL,175.0,15.0,2
James Reimer,G,175.4,15.9,10
Bryan Little,C,176.4,18.9,21
Joshua Ho-Sang,R,176.4,18.7,49
Connor Hellebuyck,G,176.8,17.3,100
Mattias Ekholm,D,177.0,15.3,6
Philipp Grubauer,G,177.0,16.0,4
Ian Cole,D,177.0,15.3,2
Vladimir Sobotka,L,177.0,15.3,2
Morgan Rielly,D,177.5,17.6,86
Andrew Cogliano,L,177.7,15.3,2
Sami Vatanen,D,179.3,19.3,41
Jason Zucker,LR,179.8,15.2,3
Petr Mrazek,G,180.0,17.6,97
Mikko Rantanen,LR,180.2,15.7,8
T.J. Brodie,D,180.4,18.1,78
Dylan Strome,C,181.3,16.1,4
Elias Lindholm,CR,182.0,19.6,8
Roberto Luongo,G,182.5,18.3,73
Teuvo Teravainen,CL,183.6,17.6,21
Tyler Bozak,C,184.0,19.4,3
Julius Honka,D,185.3,16.0,2
Nick Schmaltz,CL,185.5,16.0,8
Semyon Varlamov,G,187.4,21.5,32
Brandon Carlo,D,187.6,20.2,43
