"","Player","Season","Season.Type","Position","Team","GP","TOI","G","A1","A2","A","P","P1","G60","A160","A260","A60","P60","P160","iCF","iCF60","iCSh%","iFF","iFF60","iFSh%","iSF","iSF60","iSh%","ixG","ixG60","ixFSh%","iSCF","iSCF60","iHF","iHA","iGVA","iTKA","iBLK","iFOW","iFOL","iFO%","iPENT","iPEND","iPENDIFF","iRB","iRS","Avg.DIST"
"648","DANNY.DEKEYSER","20132014","Regular","D","DET",65,149.88,1,0,0,0,1,1,0.4,0,0,0,0.4,0.4,1,0.4,100,1,0.4,100,1,0.4,100,0.02,0.01,2.06,0,0,5,3,3,2,20,0,0,NA,0,1,1,0,0,59.54
"649","DANNY.DEKEYSER","20142015","Regular","D","DET",80,191.04,0,0,0,0,0,0,0,0,0,0,0,0,1,0.31,0,0,0,NA,0,0,NA,0,0,NA,0,0,9,5,1,2,23,0,0,NA,4,2,-2,0,0,NA
"650","DANNY.DEKEYSER","20152016","Regular","D","DET",78,210.71,0,0,0,0,0,0,0,0,0,0,0,0,3,0.85,0,2,0.57,0,1,0.28,0,0.07,0.02,3.27,0,0,18,3,2,1,28,0,0,NA,0,2,2,0,1,30
"651","DANY.HEATLEY","20132014","Regular","L","MIN",76,7.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA
"652","DANY.HEATLEY","20142015","Regular","L","ANA",6,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA
"653","DARNELL.NURSE","20142015","Regular","D","EDM",2,1.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA
"654","DARNELL.NURSE","20152016","Regular","D","EDM",69,150.11,0,1,0,1,1,1,0,0.4,0,0.4,0.4,0.4,4,1.6,0,4,1.6,0,3,1.2,0,0.05,0.02,1.25,0,0,3,2,7,2,15,0,0,NA,1,1,0,0,0,66.65
"655","DARREN.ARCHIBALD","20132014","Regular","R","VAN",16,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA
"656","DARREN.DIETZ","20152016","Regular","D","MTL",13,4.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,2,0,0,NA,0,0,0,0,0,NA
"657","DARREN.HELM","20132014","Regular","C","DET",42,95.23,2,0,0,0,2,2,1.26,0,0,0,1.26,1.26,19,11.97,10.53,15,9.45,13.33,14,8.82,14.29,1.16,0.73,7.7,6,3.78,3,5,0,2,2,38,41,48.1,0,3,3,0,3,29.48
